,A,Ant,B,Br,C,D,D2,E,F,G,Ge,K,L,O,W,Y,Z
M3_08_092,bouen es god alse heere,None,bouen al es god als here,None,bouen al is god alse here,bouen al is god als here/,None,None,bouen es god als heere,bouen al es god alse here:,None,None,None,bouen es god als heere,bouen al es god alse here,None,boven es god als heere
M3_08_093,die besittere es emmermeere,None,die besittere es emmermere,None,die besitter is emmermere,die besitter is ymmermeere,None,None,die besittere es emmermeere,die besittere es emmermeerre:,None,None,None,die bezitter es emmermeere,die besittere es emmer meere,None,die besitter es emmermeere
M3_08_094,alles dies men weet,None,alles datmen weet,None,alre dinc die men weet.,alles dies men weet,None,None,al dies men weet,alles dies men weet:,None,None,None,alles dies men weet,alles dies nien weet :,None,alles dies men weet
M3_08_095,onder alse die in allen keere,None,onder als die niet allen kere,None,onder die in alle kere,onder als die in alle keere.,None,None,onder/ als die in alle keere,onder al alse die in allen keere:,None,None,None,onder alse die in allen keere,onder al als die in allen keere,None,onder als in elken keere
M3_08_096,die dinc hout moghendelike zeere,None,die dinc hout mogendelic zere,None,die dinc houdt moghentlike sere,sijn dinck hout moghende seere,None,None,die dinc hout moghende zere,die dinc houdt mogendelec ende sere:,None,None,None,die dijnc hout moghendelike zeere,de dinc houdt mogendelec ende seere,None,sijn dinc hout mogende zeere
M3_08_097,ende ieghen al verscheet,None,jeghen al weersteet,None,jeghens al versceet,ieghen alle verscheet,None,None,eeuwelic sonder verscheet,jegen alle verscheet:,None,None,None,zonder enich onderscheet,jegen alle verscheet :,None,jegen alle versceet
M3_08_098,buten alse die met sire weere,None,buten als die mit sire were,None,buten alse die met zire were,buten als met groter weere,None,None,buten als die met siere weere,buten al alse die met siere were:,None,None,None,buten als die met groter eere,buten als die met siere were,None,buten als die met siere were
M3_08_099,sijn werc vervult dat hem en dere,None,sijn werc hoet dat hem ne dere,None,zijn werc behoedt dat hem en dere,sijn werck behoet dat hem en dere,None,None,siin werc behoet dat hem en deere,sijn werc behuedt dat hem en dere:,None,None,None,sijn werc behoet dat hem ne deere,sijn werc behuedt dat hem en dere,None,sijn were behont dat hem en dere
M3_08_100,ne gheene dinc cout no heet,None,ghene dinc cout no heet,None,gheen dinc cout noch heet,gheen dinck cout noch heet,None,None,gheen dinc cout no heet,ne geen dinc cout noch heet:,None,None,None,ghene dijnc cout no heet,negeen dinc cout noch heet,None,gheen dinc cout no heet
M3_08_101,binnen alse die met sire leere,None,binnen als die met sire lere,None,binnen alse die met zire lere,binnen als met sijnre leere,None,None,binnen als die met sire leere,binnen al als die met siere lere:,None,None,None,binnen als die met zijnre leere,binnen als die met siere leere,None,binnen als de met siere leere
M3_08_102,sijn werc vervult met selker eere,None,sijn werc veruolt mit sulker ere,None,zijn werc veruult met zulker ere,sijn werck veruolt met sulcker ere,None,None,siin werc vervult met sulker eere,sijn werc uerwlt met selker ere:,None,None,None,sijn werc veruult met zulker eere,sijn werc veruult met selker eere,None,sijn werc uerwlt met selker eere
M3_08_103,dat eewelike steet,None,dat ewelike steet,None,daert ewelike steet.,dat ewelijck steet,None,None,dat eeuwelic steet,dat ewelike steet:,None,None,None,ghene dinc cout no heet,dat ewelike steet :,None,dat ewelijc steet
M3_08_104,wient lief si oft leet,None,wient lief si of leet,None,wient lief zi ofte leet.,wient lief sy oft leet,None,None,wient lief zij oft leet,wient lief si ochte leet:,None,None,None,wien lief zij of leet,wient lief si ofte leet,None,wient lief si ofte leet
M3_09_105,bouen al es god ghedraghen,None,bouen al es god onghedraghen,None,bouuen is god onghedraghen,bouen al is god onghedraghen,None,None,bouen es god onghedragen,bouen al es god ongedragen:,None,None,None,bouen es god al onghedraghen,bouen al es god ongedraghen,None,bouen es god algedragen
M3_09_106,nv gheene dinc en mach beclaghen,None,ghene dinc mach gheclaghen,None,noch ghene dinc mach haer beclaghen,gheen dinck en mach hem beclagen,None,None,gheen dinc mach hem beclagen,negeen dinc en mach hem beclagen:,None,None,None,ghene dijnc mach haer beclaghen,negeen dinc en mach hem beclagen,None,geen dinc mach hem beclagen
M3_09_107,dat hise hiet verlast,None,dat hise verlast,None,dat hi ze verlast,dat hijt yet verlast,None,None,dat hijse yet verlast,dat hise iet verlast:,None,None,None,dat hize verlast,dat hise iet verlast,None,dat hise iet verlast
M3_09_108,onder sonder last van waghen,None,onder zonder van waghen,None,onder zonder last van waghen,onder sonder last van waghen.,None,None,onder sonder last van wagen,onder al sonder last van wagen:,None,None,None,onder zonder last van waghen,onder al sonder last van waghen,None,onder sonder last van wagen
M3_09_109,want hem en moyet no jaghen,None,want hem ne moeyt rusten no jaghen.,None,want hem en moyet rasten noch jaghen,want hem en moyt rusten noch iaghen,None,None,want hem en moyt rusten no iagen,want hem en moyt rusten no iagen:,None,None,None,want hem rusten en moyt no iaghen,want hem en moeyt rusten no iagen,None,want hem mach rusten no iagen
M3_09_110,sijn wesen es so vast,None,sijn wesen es so vast,None,zijn wesen is zo vast,sijn wesen is soe vast,None,None,siin wesen es zo vast,sijn wesen es so vast:,None,None,None,zijn weesen es zo vast,sijn wesen es soe vast,None,sijn wesen es soe vast
M3_09_111,buten breet hi niewer sijn draghen,None,buten ne breet nauwer sine daghen,None,buten en breet niewer zijn draghen,buten breet hi nyeuwers sijn dagen,None,None,buten breyt hij niewer siin dagen,buten al ende en breidt niewerinc sijn dagen:,None,None,None,buten breect hij niewer zijn daghen,buten al ende en breidt niewerinc sijn dagen,None,buten breet hi niewer sijn dagen
M3_09_112,want hi es in elken daghen,None,want hi es altois sonder vraghen,None,want hi is altoes zonder vraghen,want hi is altoos sonder vraghen.,None,None,want hii es al sonder vragen,want hi es al sonder vragen:,None,None,None,want hij es al zonder vraghen,want hi es al sonder vragen :,None,want hi es sonder vragen
M3_09_113,wert voghet ende met gast,None,werdt g voghet ende met gast,None,weert voghet ende niet gast,waert voecht ende niet gast,None,None,weert voghet ende niet gast,weert voecht ende niet gast:,None,None,None,vocht weert ende niet gast,weert voecht ende niet gast,None,waert uoget ende niet gast
M3_09_114,binnen vervult hijt ieghen plaghen,None,binnen veruolt hijt jeghen plaghen,None,binnen veruult hi ieghens plaghen,binnen veruolt hijt ieghen plagen,None,binnen verhoedt hijt ieghen plaghen,binnen verwlt hijt iegen plagen,binnen al . ende uerwllt iegen plagen:,None,None,None,binnen veruult hijt zonder plaghen,binnen al ende veruullet iegen plagen,None,binnen uerwlt hijt iegen plagen
M3_09_115,dat sine dinc met gheenen vlaghen,None,dat zijn werc met ghenen vlaghen,None,dat zine dinc met ghenen vlaghen,dat sijn dinck met ghenen vlaghen/,None,dat sijn dinc met ghenen vlaghen,dat siin dinc met gheenen vlagen,dat sine dinc met geenen vlagen:,None,None,None,None,dat sine dinc met geenen vlagen,None,dat sijn dinc met geenre vlagen
M3_09_116,ne sijn ongherast,None,ne sijn ongherast,None,en zi ongherast,en sy yet ongherast.,None,niet en si ongherast,en zij ongherast/,en si ongerast:,None,None,None,None,en si ongerast :,None,ne si ongerast
M3_09_117,noch ghequetst een bast,None,noch ghequetst een bast,None,noch ghequest van enen bast.,noch ghequetst een bast,None,noch ghequest een bast,noch ghequest een bast,noch gequetst enen bast:,None,None,None,None,no gequetst enen bast,None,noch gequests een bast
M3_10_118,van eenen god spreken wi van eenen,None,van enen god spreken wi dan van enen,None,van enen god spreke wij ende van enen,dan spreken wi van enen/,None,van enen god spreken wi van enen,van eenen god spreken wij van eenen,uan enen god spreke wi van enen:,None,None,None,van eenen god spreken wi van eenen,uan enen god spreken wi van enen,None,van eenen god spreken wi van enen
M3_10_119,dien wi vader ende sone meenen,None,dien wi vader ende sone menen,None,dien wij vader ende zoene menen,die wi vader ende sone menen,None,dien wi vader ende sone meenen,die wij vader ende sone meenen,dien wi vader ende sone meenen:,None,None,None,die wi vader ende zone meenen,dien wi vader ende sone meenen,None,die wi vader ende sone menen
M3_10_120,enten heleghen gheest,None,ende den heilighen gheest,None,ende den heylighen gheest,ende den heylighen gheest,None,enten heyleghen gheest,enten heylighen gheest,ende den heilegen geest:,None,None,None,ende den helighen gheest,ende den heileghen gheest,None,ende ten hellegen geest
M3_10_121,ende weet wel dat wire ghenen,None,ende weet wel dat wi ghenen,None,ende weet wel dat wire enghenen,weet wel dat wi ie ghenen,None,wet wel dat wine ghenen,ende weten wel dat wij ne gheenen,ende wet wel dat wiere negeenen:,None,None,None,ende weten wel dat wier gheenen,ende wet wel dat wiere negeenen,None,wet wel dat wi ne ghenen
M3_10_122,so groet noemen of so cleenen,None,so groot nomen no so clenen,None,zo groet menen of zo clenen,soe grote noemen noch soe cleynen/,None,so groet noemen no so clenen,soe groot noemen no zo cleenen,so grot en noemen no so cleenen:,None,None,None,so groot en noemen no zo cleenen,soe grot en noemen no so cleenen :,None,so grot noemen no soe cleenen
M3_10_123,datter yemene es meest,None,dattet enich es meest,None,datter iement is meest,datter eenich is meest,None,datter ieghen es meest,datter eenich es meest,datter iemen es meest:,None,None,None,datter eenich es meest,datter iemen es meest,None,datter enich es meest
M3_10_124,eenen god segghen wi eenen reenen,None,enen god segghen wienen renen,None,enen god zegghe wij ende enen renen,een god segghen wi enen reenen/,None,enen god segghen wi enen renen,eenen god zeggen wii eenen reenen,enen god seggen wi enen reenen:,None,None,None,eenen god segghen wij. eenen reenen,enen god seggen wi enen reenen,None,eenen god seggen wi enen reenen
M3_10_125,noch veruogheden noch verleenen,None,noch veruogheden noch verlenen,None,noch veruoghende noch verbenen,noch veruogheden noch verclenen.,None,noch veruoegden noch verbenen,noch veruogede no verleenen,noch uervoecht no verbeenen:,None,None,None,noch veruochden noch verleenen,noch vervoecht no verbeenen:,None,noch vermogender no verbenen
M3_10_126,sone esser ane verheest,None,esser an verheest,None,isser aen gheureest,ende isser an verheest,None,en esser an verheest,en esser ane verheest/,ende esser ane uervreescht:,None,None,None,esse ane verheest,en esser +ane vervreescht,None,ne werter aen vereest
M3_10_127,die sinen sin so laet versteenen,None,die sinen sin so laet verstenen,None,die zinen zin zoe laet verstenen,die sinen sin soe laet versteenen,None,die sinen sin so laet verstenen,die sinen zin zo laet versteenen,die sinen sin so laet versteenen:,None,None,None,die zinen zin so laet versteenen,die sinen sin soe laet versteenen,None,die sinen sin soe laet verstenen
M3_10_128,dat hi dies loechent hi moet weenen,None,dat hi dies lochent hi moet wenen,None,dat hi des loghent hi moet wenen,dat hijs loochent hi moet beweenen,None,dat hijs loechent hi moet wenen,dat hijs loeghent hij moet weenen,dat hi des loechent hi moet weenen:,None,None,None,dat hier in doelt hi moet beweenen,dat hi des loechent hi moet weenen,None,datti des loechent hi moeet wenen
M3_10_129,ende eeuwelike sijn ghevreest,None,ende ewelike zijn ghevreest,None,ende ewelec zijn gheureest,ende ewelijc sijn gheureest,None,ende ewelijc sijn gheureest,ende eeuwelic siin ghevreest,ende eweleke sijn gevreest:,None,None,None,ende ewelike zijn gheureest,ende eweleke sijn gevreest :,None,ende sijn geureest
M3_10_130,inden helschen tempeest,None,inden helschen tempeest,None,in den helschen tempeest.,inden helschen tempeest:,None,inten helschen tempeest,inden helschen tempeest,jn den helschen tempeest:,None,None,None,in den helschen tempeest,jn den helschen tempeest,None,inden helschen tempeest
M3_11_131,vvi setten den vader voren,None,wi setten den vader voren,None,wij zetten den vader voren,wy setten den vader voren,None,wi setten den vader voren,wii setten den vader voren,wi setten den vader voren:,None,None,None,wij setten den vader voren,wi setten den vader voren,None,wi setten den vader voren
M3_11_132,onghewonnen ende ongheboren,None,onghewonnen ende ongheboren,None,onghewonnen ende ongheboren,onghewonnen ende ongheboren:,None,ongewonnen ende ongeboren,onghewonnen ende ongheboren,ongewonnen ende ongeboren:,None,None,None,onghewonnen ende ongheboren,ongewonnen ende ongeboren :,None,ongewonnen ende ongeboren
M3_11_133,ende vor al beghin,None,ende voir al beghin,None,ende voer al beghin,ende voer alle beghin,None,ende voer alle beghin,ende voir alle beghin,ende vore alle begin:,None,None,None,ende voor alle beghin,ende voer alle begin,None,ende voor al beghin
M3_11_134,daer naer den sone vut vercoren,None,dair na den zone wtuercoren,None,daerna den zoene vutuercoren,daer na den sone wtuercoren,None,daer na den sone vut vercoren,daer na den soen vutvercoren,daer na den sone wt vercoren:,None,None,None,daer na den zone vute uercoren,daer na den sone wt vercoren,None,daerna den sone wt uercoren
M3_11_135,van hem ghewonnen alse wijt horen,None,van hem ghewonnen als wijt horen,None,van hem ghewonnen alst wijt horen,van hem ghewonnen als wi horen.,None,van hem gewonnen als wijt horen,van hem ghewonnen als wij horen,van hem gewonnen also wijt horen:,None,None,None,van desen ghewonnen als wijt horen,van hem gewonnen also wijt horen,None,van hem gewonnen alst wi horen
M3_11_136,eer oint beghin ghinc jn,None,eer oyt beghin ghinc jn,None,eer oyt beghin ghienc in,eer oyt beghin ghinc in/,None,eer oyt beghin ghinc in,eer oyt beghin ghinc in,eer noyt begin ginc in:,None,None,None,eer ye beghin ghinc jn,eer noyt beghin ghinc in,None,eer begin ghinc in
M3_11_137,den heleghen ghest leeren wi den doren,None,den heilighen gheest leren wi de doren,None,den heilighen gheest leer wij den doren,den heylighen gheest leeren wi den doren,None,den heyleghen geest leren wi den doren,den heiligen gheest leeren wij den doren,den heilegen geest leeren wi den doren:,None,None,None,den heilighen gheest leere wi den doren,den heilegen gheest leeren wi den doren,None,den heilegen geest lere wi den doren
M3_11_138,huut desen commende : ondoe sine oren,None,wte desen comende ondoe sine oren,None,vut desen comen ondoe zine oren,wt dese comende ontdoet dijn oren/,None,d...t desen comen ontdoet dijn oren,vut desen comende ontoe diin oren,wt desen .ij. comende ontdoe dijn oren:,None,None,None,huut desen commende sine oren,wt desen tween comende onttoe dijn oren,None,uut desen comende ontdoe dijn oren
M3_11_139,elc mensche ende sinen sin,None,elc mensche zine ende zinen sin,None,elc mensche ende zinen zin,elck mensche ende dynen sin.,None,d...e mensche ende sinen sin,elc mensche/ ende sinen sin,elc mensche ende sinen sin:,None,None,None,elken mensche ende zijnen zin,elc mensche ende sinen sin,None,elc mensche ende sinen sin
M3_11_140,ende late tgheloue niet te storen,None,ende latet gheloue niet te storen,None,ende en laet tgheloue niet testoren,en latet tgheloue niet te storen,None,en latet tgeloue niet testoren,ende latet geloeue niet te storen,en latet tgeloeue niet te stoeren:,None,None,None,daeromme en latet niet te storen,en latet tgeloeue niet te storen,None,None
M3_11_141,want al hadt die weerelt ghezworen,None,want al hadt alde werelt ghezworen,None,want al hadt alle die werelt ghesworen,want al hadt die werelt ghesworen,None,want al hadt die werelt gezworen,want al hadt die werelt ghezworen,want al hads die werelt gesworen:,None,None,None,want al hadt de werelt ghezworen,want al hads die wereld gesworen,None,None
M3_11_142,sine condent om gheen ghewin,None,so en conde omme gheen ghewin,None,zine conden om ghewin,sy en condent om gheen ghewin,None,sine conden om gheen ghewin,sine conden om gheen ghewin,sine consten om geen gewin:,None,None,None,so ne condement om gheen ghewin,sien consten om geen gewin :,None,None
M3_11_143,ghegronden meer no min,None,ghegronden meer of min,None,dit ghegronden meer noch min.,ghegronden meer noch min,None,ghegronden meer no min,gegronden meer no min,ghegronden meer no min:,None,None,None,ghegronderen meer no min,ghegronden meer no min,None,None
M3_12_144,eer of achter tijt of stonde,None,eer of achter tijt of stonde,None,eer of achter tijt of stonde,eer oft achter tijt oft stonde.,None,eer achter tijt oft stonde,eer oft achter tijt oft stonde,eer ochte achter tijt ofte stonde:,None,None,None,eer achter tijt ofte stonde,eer oft achter tijt ofte stonde,None,None
M3_12_145,dat verstaet van minen monde,None,dat verstaet van minen monde,None,dat verneemt van minen monde,dat verstant van mynen monde,None,dat verstaet vut minen monde,dat verstaet van minen monde,dat verstaet wt minen monde:,None,None,None,dat verstaet van minen monde,dat verstaet wt minen monde,None,None
M3_12_146,was noit an dese drie,None,was noyt an dese drie,None,en is niet dan dese drie,was noyt an dese drie,None,en was noit an dese drie,was oyt an dese drie,en was noyt an dese drie:,None,None,None,was noyt hende an deese drie,en was noyt an dese drie,None,None
M3_12_147,den vader setten wi als ten gronde,None,den vader setten wi als te gronde,None,den vader zette wij alse ten gronde,den vader setten wy te gronde,None,den vader setten wi als te gronde,den vader setten wij als te gronde,den vader sette wi als ten gronde:,None,None,None,den vader setten alse te gronde,den vader sette wi als ten gronde,None,None
M3_12_148,daer alle doghet vte begonde,None,dair alle duecht af begonde,None,daer alle doeghet vut begonde,daer alle duecht an begonde,None,daer alle doget vut begonde,daer alle doget ane begonde,daer alle doget vte begonde:,None,None,None,daer alle doghet vte begonde,daer alle doghet vte begonde,None,None
M3_12_149,die men versta ofte sie,None,diemen verstaet of zie,None,die men verstaet ofte zie,diemen verstaet oft sie,None,diemen versta oft sie,diemen versta ofte zie,diemen verstaet of sie:,None,None,None,die men verstae ofte bezie,diemen verstaet oft sie,None,None
M3_12_150,den sone alse wijsheit diet al conde,None,den zone als wijsheit diet al conde,None,den zoene alse wijsheit diet al conde,des soens wijsheyt diet al ionde,None,den sone als wijsheit diet al conde,den sone als wijsheit diet al conde,den sone als wijsheit diet al conde:,None,None,None,den zone als wijshede die wel conde,den sone als wijsheit diet al conde,None,None
M3_12_151,des vader claerheit ende sine orconde,None,des vader clairheit ende zine orconde,None,des vader claerheit van zire orconde,des vaders waerheyt ende sijn orconde.,None,des vaders claerheit ende sijn orconde,des vaders claerheit ende siin oirconde,des vaders waerheit ende sine orconde,None,None,None,der vaders claerhede ende zine orconde,des vader waerheit ende sine orconde,None,None
M3_12_152,die van hem en sciet nie,None,die van hem ne saeden nie,None,die van hem en sciede nie,die van hem en schiet nie,None,die van hem en sceeden nie,die van hem en schiet nye/,die van hem en sciet nie:,None,None,None,die van hem en ghesciet nye,die van hem en sciet nie,None,None
M3_12_153,die van den heleghen gheest ontbonden,None,die den heilighen gheest ontbonde,None,die van den heilighen gheest ontbonde,die vanden heilighen gheest ontbonde,None,die vanden heyleghen geest ontbonden,die vanden heyligen gheest ontbonde,die vanden heilegen geest ontbonde:,None,None,None,die van den helighen gheest ontbonden,die vanden heilegen geest ontbonde,None,None
M3_12_154,haerre twier minne hire in vonde,None,hairer beder minne hi dair in vonde,None,haer twier woert hi daer in vonde,haer tweer minne hi daer in vonde.,None,hare beeder minne hi daer in vonden,haer twee minne hij daer in vonde,harre beider minne hi daer in vonde:,None,None,None,harer tweder minne daer in vonde,haerre beider minne hi daer in vonde,None,None
M3_12_155,dese drie waren je,None,dese drie waren oyt ende ye,None,dese waren oyt ende ie:,dese drie waren oyt ende ye,None,dese waren ... ye,dese .iij. waren oyt ende ye,dese drie waren oyt ende ye:,None,None,None,deese drie waren ye,dese drie waren oyt ende ye,None,None
M3_12_156,een god des ghelouet mie,None,een god ghelouets mie,None,een god diet wel besie.,een god gheloues mye:,None,een god gelouet mye,een gheloeues mye,een god des geloeft mie:,None,None,None,eeen god gheloues mye,een god des gheloeft mie,None,None
M3_13_157,niemens wille hi hiet maken,None,diemen es wille hi yet maken,None,niement en is die iet wil maken,nyemant en is wilt hi yet maken.,None,niemen es wilt hi yet maken,niemant en es wilt hij yet maken,niemen en es wilt hi iet maken:,None,None,None,niement en es. wille hy iet maken,niemen en es wilthi iet maken,None,None
M3_13_158,hine moet in hem seluen smaken,None,hi en moet in hem seluen smaken,None,hine moet in hem zeluen smaken,hi moet in hem seluen smaken,None,hine moet in hem seluen waken,hine moet in hem seluen smaken,hine moet in hen seluen smaken:,None,None,None,hy en moet in seluen smaken,hine moet in hem seluen smaken,None,None
M3_13_159,drierande triniteit,None,enigherhander triniteyt,None,eenrehande triniteit,eenrehande triniteyt,None,eender and ... triniteit,eenrehande triniteyt,eenrande triniteit:,None,None,None,eenigherande triniteit,eenrande triniteit,None,None
M3_13_160,want hi der dinc moet moghen ghenaken,None,want hi moet moeghen der dinc genaken,None,want hi moet moeghen ter dinc ghenaken,want hi moet mogen der dinc genaken,None,None,hij moet mogender dinc ghenaken,want hi moet mogen der dinc genaken:,None,None,None,want hi moet der dijnc ghenaken,want hi moet mogen der dinc genaken,None,None
M3_13_161,ende hi moet conen die dinc gheraken,None,ende hi moet konnen die dinc geraken,None,ende hi moet om die dinc gheraken,ende hi moet connen ten dinck gheraken/,None,None,hij moet connen der dinc gheraken,ende hi moet connen ter dinc geraken:,None,None,None,ende hem daer pinen te gheraken,ende hi moet connen ter dinc geraken,None,None
M3_13_162,of hets hem al ontseit,None,of hets hem al ontseit,None,of hets hem al ontseit,oft hets hem al ontseyt.,None,None,oft hets hem al ontseyt.,ochte het es hem al ontseit:,None,None,None,ofte het es hem al ontseit,ofte het es hem al ontseit,None,None
M3_13_163,oec moet hi daer omme waken,None,ooc moet hi wilen dair om waken,None,oec moet hi daer omme waken,oeck moet hi dicwil daerom waken,None,None,oic moet hij wilen daer om waken,oec moet hi bi wilen daerom waken:,None,None,None,oec moet hi bi wilen daeromme waken,oec moet hi bi wilen daeromme waken,None,None
M3_13_164,macht const wille dese .iij. saken,None,macht conste wille dese drie zaken,None,cracht const ende wille dese drie zaken,macht. const. wille dese drie saken,None,None,macht/ const/ wille dese .iij. saken,macht . const . wille . dese drie saken:,None,None,None,mach. const. wille. dese drie zaken,macht . const . wille. dese drie saken,None,None
M3_13_165,vintmen in die menschelicheit,None,vintmen in die menschelicheit,None,vijntmen in die menschlicheit,vintmen in die godheyt,None,None,vintmen in die menscheyt,vint men in die menschelecheit:,None,None,None,vintmen in die menschelicheit,vint men in die menschelecheit,None,None
M3_13_166,die dese note wel can craken,None,die dese note wel can craken,None,die desen noten wel can craken,die dese note wel can craken,None,None,die dese note wel can craken,die dese note wel can craken:,None,None,None,die dese note wel can crake,die dese note wel can craken,None,None
M3_13_167,hine darf beiden nochte haken,None,hi en darf beiden no haken,None,hine darf niet beiden nochte haken,hi en derf beyden noch haken,None,None,hine derf beyden no haken,hine derf beiden no haken:,None,None,None,hy en darf beiden ofte hake,hine derft beiden no haken,None,None
M3_13_168,hine vint in eene godheit,None,hine vint in ene godheit,None,hine vijnt in ene godheit,hy en vint daer in ene godheyt,None,None,hij vint in eene godheyt,hine vint in ene godheit:,None,None,None,hy en vint in een godheit,hine vint in ene godheit :,None,None
M3_13_169,drie personen gheleit,None,drie persone gheseit,None,drie persone ghereit.,drie personen ghereyt,None,None,drie personen ghereyt,drie persone gereit:,None,None,None,drie persone gheseit.,drie persone gereit,None,None
M3_14_170,dese god daer wi af leeren,None,dese god dair wi of leren,None,dese god daer wij af leren,dese god daer wi af leeren,None,None,dese god dair wij af leeren,dese god daer wi af leeren:,None,None,None,dese god daer wij af leeren,dese god daer wi af leeren,None,None
M3_14_171,doet troen sonne ende sterre keeren,None,doet troon sonne mane sterren keren,None,doet troen zonne ende sterren keren,doet crone sonne sterre keeren,None,None,doet troon sonne sterre keeren,doet throen sterren ende sonne keren:,None,None,None,doet troen zonne ende sterren keeren,doet throen sterren ende sonne keeren,None,None
M3_14_172,ende al dat roerende si,None,ende al dat roerende sij,None,ende al dat roerende zi,ende al dat ruerende sy.,None,None,ende al dat ruerende zij,ende al dat ruerende si:,None,None,None,ende al dat roerende zij,ende al dat ruerende si,None,None
M3_14_173,sijn rusten es nochtan so vul eeren,None,sine ruste es nochtan so vul eren,None,zijn rusten is nochtan zo vol eren,sijn wesen is alsoe vol eeren.,None,None,siin rusten es zo vol eeren,nochtan sijn rusten es so vol eren:,None,None,None,nochtan zijn rusten es zo vul eeren,nochtan sijn rusten es so vol eeren,None,None
M3_14_174,dat hem niet en can ghedeeren,None,dat hem niet en can ghederen,None,dat hem niet en can ghederen,dat hem niet en can ghederen/,None,None,dat hem niet en can ghederen,dat hem niet en can gederen:,None,None,None,dat hem niet en can ghedeeren,dat hem niet en can gederen,None,None
M3_14_175,gheen porren verre no bi,None,gheen porren verre of by,None,gheen porren na noch bi,gheen dinck verre noch by,None,None,gheen porren verre no bij,gheen porren verre ochte bi:,None,None,None,gheen porren verre no by,gheen porren verre ofte bi,None,None
M3_14_176,hi es daer hi was sonder sceeren,None,hi es daer hi was dit nes gheen sceren,None,hi is dat hi was dit en is gheen sceren,hi is dat hi was ten is gheen scheren,None,None,hij es daer hij was dats geen scheren,hi es dat hi was dans geen sceren:,None,None,None,hij es daer hij dijns gheen sceeren,hi es dat hi was dans gheen scheren,None,None
M3_14_177,hine wille minderen no meeren,None,hine willen mindren no meeren,None,hine wil minren noch meren,hi en wil minderen noch meeren/,None,None,hine wilt minderen no meeren,hine mach menderen noch meeren:,None,None,None,hi en wille mijnre no meeren,hine mach minderen no meeren,None,None
M3_14_178,hi es sijn selues so vri,None,hi es sijns selfs vri,None,hi is zijns zelues vri,hi is sijns selues vry,None,None,hij es sijns selfs vry,hi es sijns selues vri:,None,None,None,ende maecter af gheen ghecry,hi es sijns selues vri,None,None
M3_14_179,hi doet alle dinc gheneeren,None,hi doet hair alle dinc gheneren,None,hi doet haer elcke dinc gheneren,hy doet alle dinck gheneren,None,None,hij doet hier alle dinc gheneren,hi doet hare alle dinc generen:,None,None,None,hij doet hier alre dijnc gheneeren,hi doet hare alle dinc generen,None,None
M3_14_180,sine rijcheit mach niemen verteeren,None,sine rijcheit en mach niemen verteren,None,zine rijcheit mach niement verteren,sijn rijcheyt mach niemant verteren,None,None,siin rijcheit mach niement verteren,sine rijcheit en can niemen verteren:,None,None,None,sine rijchede mach niement verteeren,sine rijcheit en can niemen verteren,None,None
M3_14_181,alle steden vervullet hi,None,alle steiden veruolt hi,None,alle steden veruult hi,alle steden veruolt hy,None,None,alle steden vervult hij/,alle steden veruult hi:,None,None,None,alle steeden veruult hij,alle dinc veruult hi,None,None
M3_14_182,dus leeret tgheloue mi,None,dus leret gheloue my,None,dus leert tgheloue mi.,dus leeret tgheloue my,None,None,dus leert dat gheloeue mi,dus leeret tgeloeue mi:,None,None,None,dit gheloue es vaste in my,dus leeret tgeloeue mi,None,None
M3_15_183,gode besluut gheene stede,None,god ne sluut ne ghene stede,None,god en sluyt en ghene stede,god en besluyt ghene stede,None,None,god en besluut ghene stede,gode en beslut geene stede:,None,None,None,god en besluut ne ghene stede,gode en beslut geene stede,None,None
M3_15_184,maer alle steden beluuct hi mede,None,mer alle steden beluuct hi mede,None,mer alle steden beluket hi mede,maer alle steden veruolt hy mede.,None,None,maer alle steden besluyt hi mede,maer alle stede beslut hi mede:,None,None,None,maer alle steden besluut hij mede,maer alle stede beslut hi mede,None,None
M3_15_185,in sine godlicheit,None,in sine godlicheit,None,in zire godheit,in sijnre godlicheyt.,None,None,in zijnre godlicheyt/,jn sijnre godlecheit:,None,None,None,in zijnre godheit,jn sijnre godlecheit,None,None
M3_15_186,sine jare keert sine moghenthede,None,die jaren keert sine moghenthede,None,die iaren keert zine moghenthede,die iaren keert sijn moghenthede,None,None,die iare keert sine moghenthede,die iare keert sijn mogenthede:,None,None,None,de jare keert zine moghenthede,de iare keert sijn mogenthede,None,None
M3_15_187,ende niet es dattene keeren dede,None,ende niet es datten keren dede,None,ende niet en is datten verkeren dede,maer niet en is dat hem keren dede/,None,None,niet en es datten keeren dede,ende niet en es dat hem keren dede:,None,None,None,ende niet es datten keeren dede,ende niet en es dat hem keren dede,None,None
M3_15_188,sine macht es so breit,None,sine macht es so breyt,None,zine macht is zo breit,sijn macht is so breyt,None,None,sine macht es zoe breyt,sine macht es so breit:,None,None,None,zijne cracht es zo breit,sine macht es so breit,None,None
M3_15_189,cracht no macht no onvrede,None,cracht no noot no ghene beide,None,noch cracht noch noet noch gheen onvrede,cracht noch noot noch geen onvrede,None,None,cracht noot noch onvrede,cracht noet noch geen onvrede:,None,None,None,macht. noot noch ghenen onurede,cracht noet noch geen onvrede,None,None
M3_15_190,ne mach hem doen onledichede,None,ne mach hem doen onleidicheide,None,en mach hem doen onledichede,en mach hem doen onledichede:,None,None,en mach hem doen onledichede,en mach hem doen onledechede:,None,None,None,en mach hem doen onledichede,en mach hem doen onledechede,None,None
